directory,seed,algorithm,method,sampler,total_samples,unique_samples,time,runtime
data/histories_unified/FinancialServices,16873,uniform,tseitin,spur,9000,8151,,
data/histories_unified/uClibc,16873,expectation_uniform,rejection,spur,139000,50930,,
data/histories_unified/Fiasco,16873,uniform,rejection,spur,30000,9094,,
data/histories_unified/Fiasco,16873,expectation_uniform,rejection,spur,30000,9067,,
data/histories_unified/BusyBox,16873,expectation_uniform,tseitin,spur,247000,99349,,
data/histories_unified/FinancialServices,16873,expectation_uniform,tseitin,spur,9000,8141,,
data/histories_unified/Fiasco,16873,none,none,spur,30000,31000,2.696,
data/histories_unified/soletta,16873,uniform,tseitin,spur,131000,63560,,
data/histories_unified/soletta,16873,expectation_uniform,rejection,spur,131000,64504,,
data/histories_unified/FinancialServices,16873,expectation_uniform,rejection,spur,9000,8174,,
data/histories_unified/uClibc,16873,uniform,tseitin,spur,139000,46497,,
data/histories_unified/FinancialServices,16873,none,none,spur,9000,9380,11.822,
data/histories_unified/uClibc,16873,expectation_uniform,tseitin,spur,139000,46495,,
data/histories_unified/Fiasco,16873,uniform,tseitin,spur,30000,9077,,
data/histories_unified/soletta,16873,expectation_uniform,tseitin,spur,131000,63529,,
data/histories_unified/Fiasco,16873,expectation_uniform,tseitin,spur,30000,9068,,
data/histories_unified/soletta,16873,uniform,rejection,spur,131000,63553,,
data/histories_unified/soletta,16873,none,none,spur,131000,132000,31.31,
data/histories_unified/BusyBox,16873,expectation_uniform,rejection,spur,247000,99215,,
data/histories_unified/uClibc,16873,none,none,spur,139000,140000,25.422,
data/histories_unified/BusyBox,16873,uniform,tseitin,spur,247000,99262,,
data/histories_unified/BusyBox,16873,uniform,rejection,spur,247000,99296,,
data/histories_unified/BusyBox,16873,none,none,spur,247000,248000,86.002,
data/histories_unified/FinancialServices,16873,uniform,rejection,spur,9000,8157,,
data/histories_unified/uClibc,16873,uniform,rejection,spur,139000,46315,,
